alabama     1053 votes,    0.407 % trump,    0.585 % biden, 2020-11-04T01:23:07ZOkay: 
alabama     2190 votes,    0.395 % trump,    0.602 % biden, 2020-11-04T01:28:39ZOkay: 
alabama     3709 votes,    0.506 % trump,    0.489 % biden, 2020-11-04T01:29:35ZOkay: 
alabama     4280 votes,     0.52 % trump,    0.474 % biden, 2020-11-04T01:32:46ZOkay: 
alabama     5249 votes,    0.516 % trump,    0.476 % biden, 2020-11-04T01:40:51ZOkay: 
alabama     8971 votes,    0.472 % trump,     0.52 % biden, 2020-11-04T01:41:31ZOkay: 
alabama     9234 votes,    0.463 % trump,     0.53 % biden, 2020-11-04T01:42:13ZOkay: 
alabama    10648 votes,    0.439 % trump,    0.551 % biden, 2020-11-04T01:43:04ZOkay: 
alabama    11670 votes,    0.475 % trump,    0.515 % biden, 2020-11-04T01:45:58ZOkay: 
alabama    11672 votes,    0.475 % trump,    0.515 % biden, 2020-11-04T01:46:29ZOkay: 
alabama    18631 votes,    0.398 % trump,    0.592 % biden, 2020-11-04T01:49:11ZOkay: 
alabama    21290 votes,    0.406 % trump,     0.58 % biden, 2020-11-04T01:52:02ZOkay: 
alabama    23626 votes,    0.423 % trump,    0.564 % biden, 2020-11-04T01:55:09ZOkay: 
alabama    30815 votes,    0.452 % trump,    0.533 % biden, 2020-11-04T01:56:07ZOkay: 
alabama    32278 votes,    0.454 % trump,     0.53 % biden, 2020-11-04T01:57:36ZOkay: 
alabama    40640 votes,    0.468 % trump,    0.519 % biden, 2020-11-04T02:00:03ZOkay: 
alabama    57276 votes,    0.462 % trump,    0.526 % biden, 2020-11-04T02:02:35ZOkay: 
alabama    57720 votes,    0.465 % trump,    0.523 % biden, 2020-11-04T02:02:42ZOkay: 
alabama    60973 votes,    0.489 % trump,    0.499 % biden, 2020-11-04T02:03:00ZOkay: 
alabama    61798 votes,    0.491 % trump,    0.497 % biden, 2020-11-04T02:04:16ZOkay: 
alabama    64748 votes,    0.498 % trump,     0.49 % biden, 2020-11-04T02:06:06ZOkay: 
alabama    66834 votes,    0.497 % trump,     0.49 % biden, 2020-11-04T02:08:52ZOkay: 
alabama    87270 votes,    0.538 % trump,    0.449 % biden, 2020-11-04T02:09:29ZOkay: 
alabama    87819 votes,     0.54 % trump,    0.447 % biden, 2020-11-04T02:09:46ZOkay: 
alabama    96685 votes,    0.501 % trump,    0.485 % biden, 2020-11-04T02:10:50ZOkay: 
alabama   102521 votes,    0.514 % trump,    0.473 % biden, 2020-11-04T02:12:20ZOkay: 
alabama   106641 votes,    0.517 % trump,     0.47 % biden, 2020-11-04T02:12:31ZOkay: 
alabama   110254 votes,    0.522 % trump,    0.466 % biden, 2020-11-04T02:16:36ZOkay: 
alabama   115261 votes,    0.539 % trump,    0.449 % biden, 2020-11-04T02:16:48ZOkay: 
alabama   117598 votes,    0.544 % trump,    0.444 % biden, 2020-11-04T02:17:24ZOkay: 
alabama   150325 votes,    0.503 % trump,    0.485 % biden, 2020-11-04T02:18:14ZOkay: 
alabama   167645 votes,    0.489 % trump,    0.499 % biden, 2020-11-04T02:19:55ZOkay: 
